Sales_Order #,Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product_Description,Order_Quantity, Unit_Cost , Unit_Price , Profit , Cost ,Revenue
261745,15,16.0,0,2021,27,1,0,3,12,0,0,8,1.0,2,2,3,5,9
261746,16,17.0,0,2021,37,0,0,7,16,0,0,6,2.0,2,2,7,9,13
261747,16,17.0,0,2021,31,1,1,1,5,0,0,10,1.0,7,7,13,15,19
261748,16,17.0,0,2021,42,0,0,4,7,0,0,8,1.0,2,2,3,5,9
261749,17,18.0,0,2021,35,0,0,1,5,0,0,17,4.0,6,6,0,2,6
261750,17,18.0,0,2021,38,0,0,4,7,0,0,8,4.0,2,2,15,17,21
261751,17,18.0,0,2021,24,2,0,3,11,0,0,6,3.0,2,2,12,13,18
261752,17,18.0,0,2021,26,1,0,6,2,0,0,10,3.0,7,7,2,4,8
261753,17,18.0,0,2021,39,0,1,7,1,0,0,4,3.0,1,1,11,11,17
261754,17,18.0,0,2021,26,1,1,3,10,0,0,5,1.0,1,1,1,3,7
261755,17,18.0,0,2021,36,0,1,7,16,0,0,6,1.0,2,2,3,5,9
261756,18,19.0,0,2021,17,2,1,3,6,0,0,8,4.0,2,2,15,17,21
261757,18,19.0,0,2021,19,2,0,1,15,0,0,14,4.0,5,5,20,1,5
261758,18,19.0,0,2021,25,1,1,3,10,0,0,3,4.0,1,1,14,16,20
261759,18,19.0,0,2021,35,0,0,7,8,0,0,1,4.0,3,3,17,19,4
261760,18,19.0,0,2021,37,0,1,7,8,0,0,3,4.0,1,1,14,16,20
261761,18,19.0,0,2021,39,0,0,7,1,0,0,5,4.0,1,1,14,16,20
261762,18,19.0,0,2021,63,0,0,1,9,0,0,5,4.0,1,1,14,16,20
261763,18,19.0,0,2021,18,2,1,1,14,0,0,12,2.0,5,5,16,18,1
261764,18,19.0,0,2021,56,0,0,4,4,0,0,5,2.0,1,1,6,8,12
261765,18,19.0,0,2021,39,0,0,7,16,0,0,6,1.0,2,2,3,5,9
261766,19,20.0,0,2021,33,1,0,1,15,0,0,0,4.0,3,3,17,19,4
261767,19,20.0,0,2021,57,0,1,1,9,0,0,5,4.0,1,1,14,16,20
261768,19,20.0,0,2021,29,1,1,2,0,0,0,15,3.0,5,5,19,21,3
261769,19,20.0,0,2021,35,0,0,1,9,0,0,6,1.0,2,2,3,5,9
261770,19,20.0,0,2021,35,0,1,1,15,0,0,6,1.0,2,2,3,5,9
261771,20,21.0,0,2021,26,1,1,3,13,0,0,6,3.0,2,2,12,13,18
261772,20,21.0,0,2021,23,2,1,6,2,0,0,11,2.0,7,7,18,20,2
261773,21,22.0,0,2021,30,1,0,7,16,0,0,6,3.0,2,2,12,13,18
261774,21,22.0,0,2021,41,0,1,7,1,0,0,4,3.0,1,1,11,11,17
261775,21,22.0,0,2021,19,2,0,1,5,0,0,17,1.0,6,6,10,14,15
261776,21,22.0,0,2021,25,1,1,3,10,0,0,3,1.0,1,1,1,3,7
261777,21,22.0,0,2021,27,1,0,2,0,0,0,5,1.0,1,1,1,3,7
261778,21,22.0,0,2021,41,0,1,4,4,0,0,6,1.0,2,2,3,5,9
261779,22,23.0,0,2021,30,1,0,7,8,0,0,7,1.0,2,2,3,5,9
261780,22,23.0,0,2021,31,1,0,2,0,0,0,4,1.0,1,1,1,3,7
261781,22,23.0,0,2021,35,0,0,7,1,0,0,13,1.0,5,5,9,10,14
261782,23,24.0,0,2021,38,0,1,1,9,0,0,4,4.0,1,1,14,16,20
